class,screen_name,description,name,statuses_count,followers_count,friends_count,ID
y,@Bi_Lust,Bi_lady~A BIG Tease~A naughty nurse~ a craving for the dark side~weakness being called a goodgirl~always seeking the beast within~searching 4 the 1~,Annie,25562,11839,1240,2706426588
y,@NurseMaryJInk,"Tattoo Aftercare Made with HEMP CBD * Available Spring 2016 * Our Mission: Reduce Inflammation, so You Retain More Ink! * Curator of @CannaFactsByNMJ",Nurse Mary J,18185,11820,10458,2998916707
y,@ElbertaTrisha,Registered Nurse,Trisha Elberta,60,11284,12621,3178979520
n,@nursemobileKL,,Nurse Mobile Clinic,2267,10712,11680,3097914650
n,@ATX_Milf,Swinging Milf Nurse from the #ATX married to  @NaughtyATXChef #AmateurArmy,Austin Taylor,29089,10510,650,2389299086
y,@N_P_jobs,NURSE PRACTITIONER JOBS HOUSTON TX,N P Jobs Houston tx,3857,10341,5222,3119056460
n,@MilfErin,"The school's MILF nurse, here to give you special treatments!~ __ || 18+ RP | Detailed | FemaleWriter | Ex-BF: @PsychoticGuard | No limits! ||",Layla Erin,10265,10019,290,2884591041
y,@SkogCarla,A proud nurse and mother hoping to touch someone's life in a positive way!,Carla Skog,11313,9292,7209,2369225023
y,@jjantz70,Former model now im a Registered Nurse. Im a huge Walking dead and SOA fan! what do I wear to bed ? why chanel No.5 of course!! #walkingdead #SOA #fightMS,MARY JANE,8354,8060,8194,2390072618
y,@naumninai,"Nurse by day, party girl by night :)",Gertude Bloor,2843,7933,8511,3035843691
y,@iwriteebooks,Writer/Nurse,Tim Hampton,490,7285,534,2590292047
y,@SimpleFanHere,"I'm a Fan,an artist,a Teacher,a Korean tutor,a Nurse,and simple person",ALDUB-FANATICS,24880,6930,4103,2787345409
y,@CountryNurse37,Small town country nurse with a horny side a country mile wide! Slide into my DM's if you like curves and fun.,ICU~Nurse,5359,6395,4079,2914946058
n,@BabygirlKara1,"#NSFW, #Nurse, #exhibitionist, #pay2play, #camgirl, #milf. SEE ALL MY LINKS HERE: http://bit.ly/ALLmylinks , http://bit.ly/giftKaraAmazon",BabygirlKara,5974,6297,607,2865422440
n,@Nurse_Deola,I'm not deola. #NOTDEE.| nurse in the marking| FUTA,Nurse,8398,6003,5899,2651706480
y,@kglusuegro,"Hi Im Krizia Lusuegro the Madiskarteng Inday of Iloilo from PBB737
Nurse, I am Iloilo, Youth Elder
fb: Krizia Cyat Gusarem Lusuegro Official, Ig:krizia_lusueg",Krizia Lusuegro,497,5917,124,3594101712
n,@EndersonHelen,I love men and I enjoy it when I am looked after and given flowers. I want to be a nurse. My favorite fruit is strawberry,Helen Enderson,7447,5546,4688,3864431555
n,@SarahJane_x21,22 | Student Nurse | UK __ #followback __,Sarah Jane,157,5474,3918,2519624669
y,@lovley1414,"writer/artist...nurse., veteran..stormysky1414@gmail.com..(#VnA-muzik#Turnedup)#LoyalPrestige",#VnAmuzik Stormysky ,4621,5360,5767,2558844348
y,@_Ashleemareee,20/Australia/Nurse,Ashleigh,64,5108,1982,3555883459
y,@MuhiimaB,Co-Chair Somaliland sisters Charity Bsn In adult Nursing MSN)Nurse &Midwifery:Activist Against Domestic violence/honor killing:Working #Maternal Mortality,Muhiima Barre,5735,5023,2339,2456566523
n,@lubnasheikh774,"Lipstick Lesbian. I Love Lesbian sex ..I am nurse in a hospital. 
(All girls are Lesbian at heart but some admit and some don,t)",Lubna Lesbian,6323,5019,3257,3305369874
y,@IvoryBelleHere,"~.  Nerd. Nurse. Cosplayer.~ 
Social norms can SMD 
FB: http://facebook.com/Ivorybelle",Ivorybelle,2037,4791,165,2444489258
y,@QuotesforNurses,"Sharing positive, inspirational, funny quotes and stuff related to nursing.
#NursesMatter, #ProudNurse, #Nurses, #Nursing #NursesUnite",Nurse Quotes,1206,4719,4715,3791898079
n,@BalesMoro,"Freshman at Alfred University, I want to be a nurse, also I'm half crazy which is why I'm single",Lexy Bales,129,4600,520,3314019514
y,@SweetTXTrouble,"Professional trouble maker, quality control specialist, book nerd, sarcasm extraordinaire, kitchen dancer, nurse, blessed beyond words.",PeachyQueen,9181,4549,2964,2831239897
n,@canadiangirl003,Small town girl born and raised _ Wanting the country but trapped in the city __ Future nurse _____EST.06/16/12____,Canadian Girl_,711,4523,4657,2880089629
n,@NursingPaMore,Another perspective of a Nurse. It's up to you if you will take it ;),Buhay Nursing,2218,4452,357,3235822946
y,@smvalenton,"nurse,avid fan of aldub, kobe bryant,los angeles lakers,rafael nadal,golden state warriors,john grisham,nicholas sparks",smvalenton,15203,4432,4688,4000841173
y,@MarcieSwenson,"Healthcare Attorney, Healthcare Regulatory & Compliance Specialist, and Registered Nurse.",Marcie Swenson,401,4288,69,2854484424
y,@greenfiev2,Retired nurse; likes country life i/c dogs & horses. Runs a home based internet business helping others make money. Visit http://www.homeworkthatpaysyou.blogspot.co.uk,Vanessa,4977,4139,4035,2591914722
y,@NurseOcha,,Nurse Ocha,6,4004,152,2875178399
y,@Bitches4Trump,"Politically incorrect Conservative Christian TeaParty, Nurse, American Veteran, Wife & Mom for @realDonaldTrump #Trump2016",Megan&Friends 4Trump,151,4002,1814,3418980555
y,@easternan0n,wanna bang? I'm a nurse #TwitterTwatz,eastern anon,14726,3995,1579,3310720589
y,@ConservCandy1,I am a Conservative beautiful black woman! Registered Nurse/Infection Control Specialist This Is Me In My AVI! #Trump2016 #CruzCrew #AntiBLM #Conservative,Conservative Candy,3937,3976,3654,3975273381
y,@gufecononik,Certified nurse-midwife,Stephen	Harris,38,3971,4427,2437266606
y,@AskTheNP,"Follow me & ask the stuff you're too scared to ask your doctor! A Nurse Practitioner educating/empowering. IG, YouTube, Facebook @AskTheNP (not medical advice)",James Simmons ACNP,1041,3962,3828,2893857904
y,@NurseYourLashes,"Exclusive Black Level Presenter with Younique cosmetics.  Former RN, loving my new path and life.  Team builder and coach!  Change your life!",Nurse Your Lashes,315,3958,1196,2849160788
y,@spsrn42,"Legal Nurse Consultant
Medicare Set-Aside Consultant, Certified
Certified Healthcare Risk Manager
Work w/attys nationwide  on  cases - case analysis","Pam Steinacher,",1208,3949,515,3168346154
y,@David_Bendell,Registered Nurse passionate about delivering safe and affordable world class care to all. http://blog.davidbendell.com,David Bendell,101,3904,23,2581650192
y,@hischivette12,Living the Chive life. LSU fan through and through. Taken #mom #nurse #Chivette,hischivette,1106,3877,186,2477941461
y,@valerie_dyer,"Wife, mother, nurse, photographer, Redskin fan, love to travel, lover of nature, lover of elephants.",Valerie Dyer,5749,3832,3765,2368170323
y,@AdrianaMuth,Vocational nurse,Adriana Muth,25,3749,4106,3220714707
n,@ayeenacorie,"Future Nurse | SC: Nacorie_x| Insta: _killthegame| Follow me, I follow back on all __",Le Nana,16633,3736,3684,2404926387
y,@ReneeCronley,Writing since junior high. ALWAYS wanted to be a writer -said I'd have my first book published at age 21. Now I'm 31 and a nurse. Time to get serious.,Renee Cronley,94,3602,4998,4514243900
y,@KellieHealth,"Mother of 3 and one adorable dog, home health nurse for 10 years, inspiring healthy living around the word!",Kellie Altman,1,3582,59,3337327697
y,@EmmaSNPHarper,"Clinical Nurse Educator, retweet or favourite is not an endorsement",Emma Harper,1423,3581,1959,2900791232
n,@CynNaya,you cant handle a princess like me .. __Nola..... Future Neonatal Nurse. #single |my friends #dfwt_|,#ImSeauxLegit,22462,3564,2321,2546455121
n,@jshmxoreo,Student Nurse  IG: jshmglrmrz,Joshua,25996,3556,4073,2446978376
y,@simonpoetry,"Psychiatric Mental Health Nurse, Author of Limitless (inspirational poetry). Enjoys music and photography.Loves nature, animals, sunrises and sunsets.",Florence Simon,15093,3528,4999,4475364315
y,@XhaiyCee,REGISTERED NURSE. TRUE BLOODED DARRENatic.,DARRENaticNURSE,18706,3486,490,2781602552
y,@drcjaffe,"Nurse Practitioner, DC, Prof of Pediatrics/ Family Practice. Sharing #healthtech #health news. I also tweet for #GRWellness at #Guaranteedrate.tweets not advice",Cynthia Jaffe,1296,3426,3256,2879689068
y,@flychristianfly,Las Vegas | NYC | Registered Nurse | Professional Globe Trotter | Bumbling Idiot,FlyChristianFly,33,3417,108,2458538294
y,@NUMOCare,"NUMO Care (TM) improves nurses' clinical workflow to increase operational efficiency and ROI, while reducing medical errors #IoT #HealthIT #SaaS #nurse #nursing",Happy Nurses,1428,3391,2801,2550504162
n,@RatedLewd,[18+] tweet and rt all kind of lewd stuff. hope you having fun~ |shapeshifter| [every person in the pics I tweet or rt are 18+] (male writer and bi),Rose your Nurse,18255,3370,122,3347335275
y,@vatuhobyvub,Nurse aide,Floralia Bresnen,39,3236,3647,2437295384
y,@plussizeanon,"Classy, sassy, & a lil bit smart assy. Aspiring midwife & nurse. Beards & @IARedneckChick make me happy__ Truck Slut. Advanced White Girl #AllBoobsMatter",T(Hug) Nasty,16579,3207,2599,2485370195
n,@MarshamMiranda,I want to be a nurse. My favorite fruit is banana and I love to do Yoga with my friends (+18),Miranda Marsham,4845,3181,3325,4417823967
n,@NursesCafe,"A free Nurse community forum with a positive and uplifting atmosphere, where you can safely discuss, ask questions, and find solutions. #nurses #nursing",Nurse's Cafe,1409,3179,1497,2416481335
y,@PittRochelle,The Singer/Song writer/Registered Nurse/Mum,Rochelle,255,3125,49,2684978983
n,@bschulte97,snap chat is bschulte7. Future nurse. Age 18. Taken #stoner,Smokey B,2261,3109,2151,3186988872
n,@TaraiiQueen,Student Nurse | 1997 | Co-leader | YFC,JA - N I N J A ___,40319,3108,2510,2449029043
y,@cleanupyourdiet,I am a registered nurse that has changed her life thriugh diet and exercise. Eating a clean diet can make such a diffrence in your health and overall wellbeing.,Melissa Schulz,102,3102,3378,3037174855
n,@ericgethmann,19 Future Nurse Posted up florida IG:ericgethmann,Eric Gethmann,630,3083,25,2884277402
y,@jhousevlogs,Living life with no regrets! YouTubers | Mother/Father of 4 | Lawyer/Nurse |   Check out our daily family vlogs at http://www.youtube.com/jhousevlogs,J House Vlogs,2662,3063,163,2744691830
y,@CrowdFundYouth,Tony Searight AKA Nurse Tony  AKA   Father Teaching Kids To Find Their Passions & Share Them!,Tony Searight,10822,3059,2787,2482808712
y,@JoelStn,"Nurse, interest in stroke, public health and health inequalities. Care Maker. Attempting to run. Vegetarian.",__Joel Stanton __,344,3048,343,2512950542
y,@babysoundasleep,Baby Sleep Training Consultant - Maternity Nurse - Night Nanny - Mother to 3. Helping tired parents get a good night's sleep.,Baby Sound Asleep,255,3021,2960,3230753560
y,@kristinewanders,#travelblogger. Wanderer. #Canadian #nurse #expat living in #saudiarabia. I write about life in the Middle East and wherever my adventures take me. Wander along,Kristine,245,3011,2621,2834656377
y,@Sassy_Nursey,ER nurse in the beautiful ghetto. Saving lives one percocet at a time. CEN status. KCCO. snap the @.,_assy __ursey,11588,3009,551,2395655937
y,@daisha2x,@foreverrenea __ | @bcimhann __ |l allaboutmeho _|lfuture nurse ____ O __ @prettyasanna _ Ladaisha __ madcauseimpoppin _sc: daisha2x__,.ahsiadaK ____,29927,2896,1762,2741132973
y,@elmorephd,"Conservative & patriot. Love America, my husband, family, God, & military. Nursing dean & nurse practitioner. Proud mom of 3.Youngest a naval officer/  aviator.",Dr. Diane,10763,2893,4540,2416254386
y,@Flustered_Mom,"Holistic Nurse, Flustered Mom, Blogger, Puppy Lover, Boo-Boo Fixer, Smile Maker, Cookie Baker (the avocado, quinoa, multi-grain kind!)",FlusteredMom.com,2777,2858,2812,3030985012
y,@simplemomreview,Mom of 4|#Blogger|http://Soc.Media #influencer|Product #Reviews|Brand Ambassador| also a #Nurse & #Cosmetologist PR thesimplemomreviews@gmail.com,Amy Blair,5428,2755,2386,3295128941
n,@Tynesheiaaa_,God first| Mother of Two| Neonatal Nurse in the making,SC: Tynesheiaa,26937,2744,2414,2845693880
y,@23weeksocks,"Mum to Squidge, NICU nurse, battling depression. Part of #MatExp and host of #MatExpHour Featured on Babble, HuffPost UK, Scary Mommy. Shortlisted for BIBS2015.",23weeksocksblog,20433,2735,1561,2934426502
n,@Qveenshxtonly,future pediatric nurse. Aries baby,mix oreo,3208,2704,2728,3051336096
y,@MariaFilipina70,"45-year old bisexual Filipino American Mom/Nurse, Ex-cheerleader, dancer, model trying to get back in the groove baby in between car pool trips. #HashtagFun ;)",Maria Filipina,2421,2702,2601,2876072260
y,@Majorboobage,"Father, husband, brother, son, nurse and biker... Back by popular demand!",Majorboobage,11052,2696,2569,3117811355
y,@DenNpt,Veteran Interventionist  |  Viet-Nam Vet  |  (Ret) Professional Registered Psych Nurse in VA |  Merchant Seaman | Follow:|https://twitter.com/YourGratfulNatn  |,Dennis O'Toole,26513,2637,2750,2728564708
y,@aiee_light,A Happy Simple Girl. Loved. Enjoys Writing And Arts. Registered Nurse.,Aileen de Leon,389,2578,3215,2433215504
n,@MsPrissEvieDoll,__ 21 years old __ Studying to become a nurse __,_________v________,3181,2575,3253,2662432107
y,@JoanneMCourtney,"Second for @TeamHoman, Canadian curling team. Registered nurse (hemodialysis)",Joanne Courtney,326,2556,187,2571999227
y,@iamnursecamila,I'm passionate to share tips about #nursing & being a #nurse is something i love.I am a certifed nurse and willing to connect people in my field,Camila Taylor,376344,2529,26,3449770093
y,@Lacy0902,"Nurse who cares, love for God, Family, Military and USA. #COSProject #FairTax #2A #PJNET",Lacy,9608,2525,2565,3556720519
y,@thenurseteacher,"Wife. Mom. Nurse. Teacher. Sharing my passion for nursing with the next generation. Specializes in critical care, legal issues/consulting & nursing education.",The Nurse Teacher,3500,2470,2396,2485637500
n,@WhiteGirlTay,Future NeoNatal Nurse__ ..... #KaySister__,6MoreDaysTillMyBday,111396,2428,1003,2385758844
y,@nursebrenda93,Nurse for dying children since 1993. Now Blogger and enjoying being SelfEmployed.,Brenda,161,2418,4885,4018413374
y,@rarafan92,just ordinary nurse,Suster Rara,3,2396,42,2890763094
n,@bitchwhaaaaaaaa,/ fuck yo feelings _________ / I'm ugly but I'll treat you right / future nurse / pushing one of epi / est. 12.13.15 / @countrylife74 is my better half __,idc.___,1162,2368,4327,4476900863
y,@TravelRNStyle,#TravelNursing Trailblazery | Health & Wellness Tweditor | #FOAMed | #DigitalMarketing Maven | #RoadShots | #HotJobs | #HousingDeals | #SedentaryNurseComedy |,Travel Nurse Station,5407,2366,3161,2453824047
y,@pfr2505,Nurse. Theatre lover. #gay Dreamer and lover of life and banter. #teamgay,Norwich Paul,16413,2360,1790,2445475461
y,@wifelopedia,"Politically Incorrect, Constitutional and Common Sense Conservative, Wife, Mother, Nurse, and USAF Vet.",j sofield,15030,2330,2230,2763882690
y,@KeithSonia,Gynecology nurse,Sonia Keith,37,2303,2991,3220819468
y,@gesare57,Registered Nurse|Born-Again|Lover of Gospel Music |#UnoUnoSeis| #CEDMAddict |#CCMAddict |#CHHLover |#CatLover |#Certified5ver|#TeamBadaeArts,__Fayee #BeautifulMe__,16261,2300,1412,2413140282
y,@darian_lparson,_ Young Face // 22 _ Old Soul _ Funny Girl _ Proud Momma _ Registered Nurse _ 417 MO _,Drop Dead Darian,920,2292,2372,2698571883
y,@FreddySabrina,Otorhinolaryngology nurse,Sabrina Dionysius,28,2280,3034,3220818460
y,@maximumclassic,"Imperfect Christian, Nurse, Conservative,
 Pro Constitution, ProIsrael, Ted Cruz 45",MaryAnna,5976,2279,2396,2658792034
y,@lmsteinmann,RN - skilled nursing & #rehab facility. Clinical nurse leader (#CNL) - on a quest to bring #QI to the floor using a grass roots approach - #Danish,"Lone Steinmann, MSN",163,2271,2776,3253799675
y,@DemonicNurse,Just a nurse from a high school. My student's well being is my first priority~ #BibleBlack,Reika Kitami,6256,2260,59,2680442137
y,@rideinmyAtivan,"In my world, everyone is a pony and they eat rainbows and poop butterflies. Just kidding I'm a nurse",Trauma Queen,2186,2242,456,2510462634
n,@whenn__d,Nursing Major _ Republican _ Coffee addict _ @TheGiiinger43 is my everything  __,Future SoCal Nurse,3279,2226,1184,2661672542
y,@vep_connie,Accountant | Nurse | Loving Mother of  2 Beautiful Kids | Works @VEPeople,Connie S. Soledad,1600,2226,2451,2965371397
y,@BookMom80,Jesus Geek. Book worm. Nurse. Wife to an Environmental Historian. Mom of 2. Canadian Michigander.,Jen Macfarlane,1207,2214,2233,2941263338
y,@garywickson,Charge Nurse Icu and Poet,Gazzagodbod,5971,2203,2415,2767643483
y,@MommyRN_,"Work from home dirty diaper changing, baby healer(aka #Mom #pediatric #nurse). #WAHM #blogger #PRFriendly #kidshealth #momblogger #bloggerswanted",Cassie,697,2187,2226,3222642798
y,@kat28RN,Wife | Mother | Nurse                                                                                                    Advocates Women Empowerment,siKATHako,5023,2170,1992,3273688916
y,@FierceFemtivist,"Unapologetically Black. Freedom Fighter. 
Critical Thinker. Sex Positive Black Feminist. 
ZetaPhiBetaSorority Inc. 
Trauma & Peds Nurse.",FierceFemtivist,14322,2162,754,2870457268
y,@emilyaloecake,"I love LA! Nurse, Dodgers fan, Amazon Prime fanatic/product reviewer, dog owner, tea drinker. Addicted to cute. Follow me for great product recommendations!",Emily Taarg_s,278,2148,2505,4739620092
y,@peyge_sims,"20yr ICU nurse, husband, father of 6__  Diabetes, autoimmune diseases, inflammatory processes. The personal testamonies are undeniable.Plexus works. C4 yourself",Peyge Sims,3600,2114,4958,4619844213
n,@bathurst_vicki,"I want to be a nurse. I love coming back home, watching a movie and playing with my cat. In my free time I like to dance (+18)",Vicki Bathurst,2607,2111,2551,4659401315
y,@yournursingjobs,We get you clients and jobs as a nurse! Get clients directly from us and the members of our community. Register for FREE!,Nursing Jobs,5,2065,2452,3044981762
y,@ilerpine,"Out spoken conservative. Great grandfather, retired nurse and supports 2nd Amendment.
Ted Cruz for President.",Lanny Cook,15734,2052,2229,2840136808
y,@paulh2167657,"Bakery manager,part time nurse in Illinois 
Proud grandfather.",Paul Hester Sr,18385,2020,4998,3313860960
y,@BronsonWilks,"The Lifestyle of the Healthy, Wealthy and Happy. Marketer, Nurse, Obsessed with parenting, finance and sports. Build the Life You Want.",Bronson Wilks,115,2016,4967,4628741773
y,@GarzaDean,"I am a registered nurse, a triathlete, marathon runner and century bike rider from the great state of Texas",Dean Garza,1441,1997,2063,2946198027
n,@websurgeon05191,"Physician-Surgeon in Bacolod City,
Wellness buff, Music lover, father of 4 talented kids, husband to a beautiful nurse","John Vic Caagbay,MD",3878,1989,3036,3321154016
y,@anna__Scott__,"Im a nurse. I'm from Pennsylvania. University of Pennsylvania graduate.A huge art lover at heart. Love animals and good hearted people,then chocolate of course!",Anna Scott,91,1978,4536,4608424447
n,@NurseLotsaLuv,I'm Nurse Lotsa Luv of the Dr Ronnie Luv show - an Adult #Comedy #Podcast and NOW #Adult Toy Store ___ Nurse@TheLuvOffice.com,Nurse Lotsa Luv,14083,1973,1973,2454373184
n,@NeuvooChernivt,Check out our Nursing jobs in the UK on our website http://neuvoo.co.uk/jobs/?k=nurse&l=&f=&p=1&r=15,Nursing UK,31386,1968,1878,3064526391
y,@MissLovey379,"Peace, Love, & Creativity.

Nurse. Teacher. Autodidact. Glamorous Yogi. Choreographer. Dancer. Writer. Musician. Artist. Psychology junky. Closet Nerd.",Lovey,2233,1962,3414,3401811533
n,@psychnurseprobz,"Watch out, I'll shoot you in the ass with Thorazine blow darts.",Psych Nurse Problems,4687,1943,730,2668691017
y,@FitzeeElla,Dublin native. Walking the fine line between too much and too little caffeine. Aspiring dental nurse.,EllaF,16,1932,156,4829908819
n,@LewdNurseJoy_,Hello! My name is Nurse Joy! Let me heal your pokemon! But I'd rather take care of your needs! I love big digletts__~ #LewdRp #DetaliedRp #Bi I do accept Futa,Nurse Joy,2,1925,556,3255485917
y,@DehaanStephanie,"health tech entrepreneur; clinician well-being = better outcomes, patient experiences & safety; hockey mom; forever a nurse",Stephanie de Haan,2061,1924,1709,2831737343
n,@chynnadoll7,Future neonatal nurse__ Mayaa & Mariah__,Chynna__,3439,1919,2057,3103388514
y,@martinfabrizio2,50 born the 1st of March| Father | Grandfather | Liberal |Nurse |Personal trainer | #horror #sci fi #teamfollow #ItalianSyranAmerican,Martin,5656,1911,1880,2782112267
y,@lilyppleemingp5,i live in knoxville my name is hannah. i am a nurse,Hannah	Lambert,2483,1911,661,3220297212
y,@fiwovanyjej,Nurse practitioner,Jaina Jepson,31,1900,1369,2437323368
n,@crossfitguy_15,"Just your typical Crossfit, pizza lovin, country music jamming guy. Bromo. avi is me.",Southern Nurse,220,1877,408,3233563590
y,@1periculo,American | conservative | freelance journalist | registered nurse | anti-islamization activist | irreverent  | RT=endorsement | #TeamMarco,Pura Periculo,15298,1876,2147,2775579278
y,@papacciorn,Registered Nurse/Author of Before You Begin A Weight-Loss Program Again...,Health @ Papaccio RN,230,1850,2126,2572996359
y,@studentnuurse,Don't let me fix you because I have no idea how to be a nurse yet.,Student Nurse,70,1847,3378,4343226976
y,@cocaineNoHonei,I'm that Female You shouldn't cross path with Nurse / Student /#BOSS,Undefinedcocaine,115,1841,506,2868459266
y,@DuranceauRandi,"RN.Artist.Photographer.__Fishing,Traveling, Outlander. You don't have to be a Nurse to follow..All who are kind are welcome here__",Nurses4Outlander,8024,1828,2333,2797474453
n,@awhjazmin,"latinas make the world go around |humbled, focused & blessed | future nurse__",J. Garcia,47274,1827,795,2361774732
y,@starlasphinz1,"Nurse,martial artist,belly dancer,Charity 'STARLASPHINZ.Egypt.dubai.kuwait.",Nita Thompson,1055,1822,5002,3301520817
y,@TheMamaNurse,"Fun and helpful info for #moms written by an OB Nurse at http://themamanurse.com, with a side of all things #momlife and #parentingfails!",The Mama Nurse,480,1805,2018,3933925433
y,@HuganDking,NURSE__UNDER MINISTRY OF HEALTH__________SINGER VOCALIST______ MINISTERS CHOIR MEMBERS(D DREAMERS)______VOLLEYBALL///BASEBALL FIRST BASED__________,HUGAN DKING,271,1794,3215,3981900771
y,@suzannecleroy,"Author of Nightingale: A Memoir of Murder, Madness, and the Messenger of Spring. Human Rights Advocate -Women/Girls. Nurse Practitioner. Adventurer.",Suzanne C. LeRoy,7860,1790,1585,2652113628
n,@LizzysSugarToes,Tell me your kinkiest secrets & desires...,Nurse Lizzy,3174,1772,1429,3041959221
y,@shonad7674,"Proud yes voter who believes in Scotland.Mother,grandmother,carer,retired nurse who will never forget WM & BT for the fear campaign.",shona on #clypegate,17740,1758,1606,2777818677
n,@Versatop69,Certified versa Top / Cock Sucker / Naughty Nurse / Likes Hardcore / Not just your Ordinary Bottom - Top. Fuck me hard and I'll  Fuck you hard in return.,Calleb,401,1746,572,2692650332
y,@ChastityBelt33,"Im A Lady Who's Living Life 2 The Fullest With Eyes Wide Open! Nurse By Day & Jersey Girl By Night! Home Is DE : )
Make Money Driving /1st Free Ride #Uber:Lj4g9",Chastity,41262,1735,2475,2636178753
y,@sexehadagosi,Otorhinolaryngology nurse,Eric		Powell,24,1734,1999,2437062002
n,@Summerpreslie,"18+ only NSFW! Cam Model, Triage Nurse, and Total Goofball.",SummerPreslieMFC,436,1734,331,2699520798
n,@LisaLocher1,"Single mom|vegan|animal advocate|nurse|integrative med student|calisthenics addict
#musicismyxanax ____

Proudly #reppin @SPTTmusic 
 #SPTTFamily __",Lisa Locher,1394,1698,3016,3432085936
n,@HisPharmWife,"My husband is that dream that I happily put my other dreams on hold for. __ Future nurse, dreaming of being a doctor. Small town OH--CA #SupportOurTroops",k_,7948,1685,1238,3318584397
y,@fiestagramApp,Literature__Beach| Music| Nurse| Prof.UI/UX Software Developer|Astrophysics &Vedic Philosopher Traveling| CHRIST |Philanthropist |WorldMatters Business|Marketing,A.R Maythily Prakash,1010,1685,4935,3908822773
n,@GymLeaderBr0ck,Nurse Joy is my side hoe,BROCK,2,1684,1607,3153646953
y,@Raquelove01,Nurse,DARRENatic Raquel,23189,1680,66,2880206382
y,@trevino_roxanne,"God first, family, work/GYM. Singer/Nurse/Gymjunkie.  I love GOD, Tejano music, EL ACCORDION, LOVE working out, LOVE MY FAMILY & friends, & the BIBLE.",Roxanne Trevino,2520,1663,2186,2741943492
y,@myfaceredso,Im a nurse/stock picker/conservative/tea party member who loves politics and spending time with my granddaughters who like my money. xD,Joe Bureau,55,1660,4990,4870019248
y,@IBDPassport,"Kay Greveson IBD nurse specialist @RoyalFreeNHS, #NTAwards 2015 winner & founder of IBD Passport, non-profit online travel resource for Crohn's & Colitis",IBD Nurse Kay,2049,1652,860,2435443049
n,@TLBCofficial,Simple. PC. Phone. Gaming. Anime. Movies. Series. Guitar. Piano. That's it pretty much.,Ted Cortez,1133,1646,19,2431818938
y,@FABNotts,"Aesthetic Nurse, INP Sarah Barker #eastmidlands #aesthetics #nonsurgicalfacelifts also founder of @FlawlessPen and @FABMinerals and East Mids lead @PIAPA_UK",Flawless Aesthetics,2669,1627,2138,2589513058
n,@CannabisRJ,,Registered Nurse,508,1625,1926,2995580587
y,@MotherhoodandMS,"Author of The Hero of the Story, blogger, nurse practitioner, mom of 6, and Multiple Sclerosis patient. Challenges are opportunities in disguise.",MegF,1748,1621,2011,2842503908
n,@BackwoodsBromo,farm town guy. future nurse. tryin to be the guy my dog thinks I am. avi is me. cub.,The Kansas Bromo,876,1613,473,3683229433
y,@LauraH1ppy,"Happy h1ppy veggie eater. #GoVeg. Embrace every day as they come. Nurse by trade. Singer for fun, traveller, music lover! #popart",Laura Strange,485,1608,272,2797719255
n,@Taayluhhhhh_143,"___ 252 ___804 #ARIES Cowboys, FUTURE NURSE SC:@ aliizaaah",ITS_TAEEE,2755,1597,1424,2544962281
y,@JenRaineSmart,"I'm an Emergency & ICU Nurse, Mother, Wife, Teacher, and Perpetually-Learning-Nerd. I love the snow & mountains, & someday I will become Dr. Smarticles! #smiles",Jen Smart,946,1596,2073,2538362526
