screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@canadiangirl003,0,0.0,4523,4657,2,4,n
@NursingPaMore,3,0.21428571428571427,4452,357,4,2,n
@smvalenton,0,0.0,4432,4688,15,1,y
@MarcieSwenson,2,0.14285714285714285,4288,69,5,0,y
@greenfiev2,0,0.0,4139,4035,8,1,y
@NurseOcha,2,0.2,4004,152,0,0,y
@Bitches4Trump,2,0.14285714285714285,4002,1814,7,1,y
@easternan0n,0,0.0,3995,1579,2,0,y
@ConservCandy1,2,0.14285714285714285,3976,3654,10,2,y
@gufecononik,0,0.0,3971,4427,1,0,y
@AskTheNP,4,0.4444444444444444,3962,3828,8,3,y
@NurseYourLashes,3,0.1875,3958,1196,13,1,y
@spsrn42,0,0.0,3949,515,10,1,y
@David_Bendell,2,0.14285714285714285,3904,23,7,0,y
@hischivette12,0,0.0,3877,186,5,2,y
@valerie_dyer,0,0.0,3832,3765,6,1,y
@AdrianaMuth,2,0.16666666666666666,3749,4106,1,0,y
@ayeenacorie,0,0.0,3736,3684,0,4,n
@ReneeCronley,2,0.15384615384615385,3602,4998,9,2,y
@KellieHealth,2,0.15384615384615385,3582,59,7,0,y
@EmmaSNPHarper,5,0.35714285714285715,3581,1959,5,2,y
@CynNaya,2,0.25,3564,2321,1,4,n
@jshmxoreo,0,0.0,3556,4073,0,1,n
@simonpoetry,0,0.0,3528,4999,9,2,y
@XhaiyCee,2,0.2222222222222222,3486,490,2,0,y
@drcjaffe,0,0.0,3426,3256,11,1,y
@flychristianfly,0,0.0,3417,108,7,1,y
@NUMOCare,5,0.5555555555555556,3391,2801,16,1,y
@RatedLewd,2,0.2,3370,122,5,5,n
@vatuhobyvub,0,0.0,3236,3647,1,0,y
@plussizeanon,0,0.0,3207,2599,12,2,y
@MarshamMiranda,2,0.13333333333333333,3181,3325,3,5,n
@NursesCafe,2,0.18181818181818182,3179,1497,4,8,n
@PittRochelle,2,0.15384615384615385,3125,49,3,0,y
@bschulte97,0,0.0,3109,2151,1,4,n
@TaraiiQueen,2,0.16666666666666666,3108,2510,0,3,n
@cleanupyourdiet,0,0.0,3102,3378,15,2,y
@ericgethmann,0,0.0,3083,25,1,2,n
@jhousevlogs,0,0.0,3063,163,10,2,y
@CrowdFundYouth,3,0.2,3059,2787,9,1,y
@JoelStn,2,0.25,3048,343,9,1,y
@babysoundasleep,0,0.0,3021,2960,12,1,y
@kristinewanders,0,0.0,3011,2621,11,0,y
@Sassy_Nursey,2,0.15384615384615385,3009,551,8,0,y
@daisha2x,0,0.0,2896,1762,11,0,y
@elmorephd,0,0.0,2893,4540,9,3,y
@Flustered_Mom,2,0.14285714285714285,2858,2812,13,0,y
@simplemomreview,0,0.0,2755,2386,9,0,y
@Tynesheiaaa_,1,0.07692307692307693,2744,2414,1,2,n
@23weeksocks,0,0.0,2735,1561,14,1,y
@Qveenshxtonly,1,0.07142857142857142,2704,2728,1,1,n
@MariaFilipina70,2,0.125,2702,2601,12,1,y
@Majorboobage,1,0.07692307692307693,2696,2569,6,0,y
@DenNpt,2,0.2857142857142857,2637,2750,11,2,y
@aiee_light,0,0.0,2578,3215,4,1,y
@MsPrissEvieDoll,4,0.25,2575,3253,0,0,n
@JoanneMCourtney,3,0.1875,2556,187,6,0,y
@iamnursecamila,0,0.0,2529,26,11,0,y
@Lacy0902,1,0.1111111111111111,2525,2565,8,1,y
@thenurseteacher,0,0.0,2470,2396,10,2,y
@WhiteGirlTay,3,0.23076923076923078,2428,1003,0,1,n
@nursebrenda93,0,0.0,2418,4885,4,0,y
@rarafan92,0,0.0,2396,42,0,0,y
@bitchwhaaaaaaaa,0,0.0,2368,4327,2,11,n
@TravelRNStyle,4,0.2857142857142857,2366,3161,10,0,y
@pfr2505,0,0.0,2360,1790,6,0,y
@wifelopedia,0,0.0,2330,2230,4,1,y
@KeithSonia,2,0.18181818181818182,2303,2991,1,0,y
@gesare57,0,0.0,2300,1412,10,0,y
@darian_lparson,0,0.0,2292,2372,4,0,y
@FreddySabrina,2,0.14285714285714285,2280,3034,1,0,y
@maximumclassic,0,0.0,2279,2396,7,1,y
@lmsteinmann,0,0.0,2271,2776,14,1,y
@DemonicNurse,2,0.15384615384615385,2260,59,4,0,y
@rideinmyAtivan,1,0.06666666666666667,2242,456,6,2,y
@whenn__d,0,0.0,2226,1184,1,2,n
@vep_connie,0,0.0,2226,2451,4,2,y
@BookMom80,2,0.2,2214,2233,6,1,y
@garywickson,0,0.0,2203,2415,1,0,y
@MommyRN_,3,0.3333333333333333,2187,2226,12,0,y
@kat28RN,2,0.25,2170,1992,2,0,y
@FierceFemtivist,2,0.125,2162,754,8,1,y
@emilyaloecake,0,0.0,2148,2505,10,5,y
@peyge_sims,0,0.0,2114,4958,11,0,y
@bathurst_vicki,0,0.0,2111,2551,3,6,n
@yournursingjobs,0,0.0,2065,2452,7,3,y
@ilerpine,0,0.0,2052,2229,7,2,y
@paulh2167657,0,0.0,2020,4998,3,1,y
@BronsonWilks,2,0.15384615384615385,2016,4967,10,3,y
@GarzaDean,2,0.2,1997,2063,10,0,y
@websurgeon05191,0,0.0,1989,3036,2,5,n
@anna__Scott__,1,0.07142857142857142,1978,4536,10,3,y
@NurseLotsaLuv,3,0.21428571428571427,1973,1973,0,8,n
@NeuvooChernivt,2,0.13333333333333333,1968,1878,1,6,n
@MissLovey379,2,0.15384615384615385,1962,3414,11,1,y
@psychnurseprobz,0,0.0,1943,730,1,5,n
@FitzeeElla,2,0.18181818181818182,1932,156,4,3,y
@LewdNurseJoy_,3,0.21428571428571427,1925,556,6,10,n
@DehaanStephanie,2,0.125,1924,1709,7,0,y
@chynnadoll7,0,0.0,1919,2057,0,2,n
@martinfabrizio2,0,0.0,1911,1880,11,0,y
@lilyppleemingp5,0,0.0,1911,661,4,1,y
@fiwovanyjej,0,0.0,1900,1369,0,0,y
@crossfitguy_15,0,0.0,1877,408,1,5,n
@1periculo,0,0.0,1876,2147,6,2,y
@papacciorn,0,0.0,1850,2126,6,1,y
@studentnuurse,0,0.0,1847,3378,5,2,y
@cocaineNoHonei,2,0.13333333333333333,1841,506,3,1,y
@DuranceauRandi,2,0.13333333333333333,1828,2333,9,0,y
@awhjazmin,0,0.0,1827,795,2,3,n
@starlasphinz1,0,0.0,1822,5002,5,0,y
@TheMamaNurse,3,0.23076923076923078,1805,2018,12,1,y
@HuganDking,2,0.18181818181818182,1794,3215,9,0,y
@suzannecleroy,0,0.0,1790,1585,10,1,y
@LizzysSugarToes,3,0.1875,1772,1429,2,4,n
@shonad7674,0,0.0,1758,1606,13,0,y
@Versatop69,1,0.09090909090909091,1746,572,1,10,n
@ChastityBelt33,2,0.13333333333333333,1735,2475,13,1,y
@sexehadagosi,0,0.0,1734,1999,1,0,y
@Summerpreslie,1,0.07142857142857142,1734,331,0,6,n
@LisaLocher1,2,0.16666666666666666,1698,3016,0,10,n
@HisPharmWife,3,0.23076923076923078,1685,1238,2,7,n
@fiestagramApp,1,0.07142857142857142,1685,4935,12,0,y
@GymLeaderBr0ck,3,0.2,1684,1607,0,2,n
@Raquelove01,1,0.08333333333333333,1680,66,0,0,y
@trevino_roxanne,0,0.0,1663,2186,10,3,y
@myfaceredso,0,0.0,1660,4990,9,1,y
@IBDPassport,4,0.3333333333333333,1652,860,15,0,y
@TLBCofficial,4,0.3076923076923077,1646,19,2,3,n
@FABNotts,4,0.4444444444444444,1627,2138,13,1,y
@CannabisRJ,3,0.2727272727272727,1625,1926,0,0,n
@MotherhoodandMS,3,0.1875,1621,2011,9,2,y
@BackwoodsBromo,2,0.13333333333333333,1613,473,2,3,n
@LauraH1ppy,2,0.18181818181818182,1608,272,13,1,y
@Taayluhhhhh_143,1,0.0625,1597,1424,0,4,n
@JenRaineSmart,3,0.21428571428571427,1596,2073,9,2,y
@endoverwhelmnow,0,0.0,1595,2278,12,1,y
@goddessstacey69,0,0.0,1593,1613,8,2,y
@Miss_Asteria,2,0.15384615384615385,1593,518,2,7,n
@Santosh424Sp,2,0.15384615384615385,1592,1333,1,14,n
@NurseJackie615,2,0.13333333333333333,1588,1379,14,0,y
@LgLgarris62,2,0.16666666666666666,1577,1489,8,3,y
@agbg1996,0,0.0,1570,1406,8,0,y
@MollyMclellan91,2,0.125,1566,2245,1,5,n
@ppleasant14,0,0.0,1565,2473,6,1,y
@RaeJean9,2,0.2222222222222222,1562,2010,8,2,y
@littlebuttonboo,0,0.0,1559,1543,4,0,y
@reinascrubstwt,0,0.0,1559,1863,5,7,n
@ThyWntcookie,2,0.15384615384615385,1550,813,0,0,n
@AmericanMex067,2,0.13333333333333333,1546,1074,11,0,y
@NigelDynamite,2,0.14285714285714285,1544,2045,2,6,n
@BeachyBeads1,2,0.15384615384615385,1544,2038,13,3,y
@ang4575,0,0.0,1544,2435,14,0,y
@vparr3,0,0.0,1542,1668,3,2,y
@_paigeolson,0,0.0,1537,882,5,0,y
@OhSotto,2,0.25,1536,1488,6,0,y
@roIlerCosta,2,0.16666666666666666,1535,454,2,0,y
@nurs_ed_com,0,0.0,1531,2121,4,6,n
@pinkinktattoo1,0,0.0,1530,2559,15,2,y
@nei_monaee,0,0.0,1527,1920,0,0,n
@PiesieAfia,2,0.18181818181818182,1526,154,0,13,n
@_AbbyBabyyy,2,0.16666666666666666,1514,1207,5,0,y
@drewwerner1690,0,0.0,1513,4050,16,0,y
@eatmyyythoughts,0,0.0,1512,459,3,9,n
@RhamRN,3,0.42857142857142855,1511,531,4,0,y
@dementiaboy,0,0.0,1509,929,8,0,y
@IQRA_Raani,5,0.45454545454545453,1490,1783,5,1,y
@chitownbromo,0,0.0,1476,2187,8,1,y
@Vanilla_SweetMe,3,0.1875,1473,1945,9,3,y
@NeuvooNurLon,3,0.23076923076923078,1471,1405,1,7,n
@AlexndrBerkeley,2,0.125,1469,1914,0,0,y
@quietandsassy_,0,0.0,1460,930,1,10,n
@ujellyxlover,0,0.0,1456,2040,1,1,n
@finnyLaura,1,0.09090909090909091,1451,1464,11,0,y
@NoBody_6000,2,0.16666666666666666,1450,2100,5,1,y
@EpicMurse,2,0.2,1450,1536,2,4,n
@GuerrillaNurse,2,0.13333333333333333,1447,2265,14,1,y
@lorraine_tinker,0,0.0,1429,2106,10,2,y
@PoutandFlutter,2,0.13333333333333333,1427,1928,14,0,y
@danieloliloxip,0,0.0,1413,1470,1,0,y
@Shannon30446397,1,0.0625,1410,1828,12,1,y
@Michigan_bellee,1,0.0625,1410,1128,5,4,n
@MadamePrez4Ted2,3,0.1875,1408,2092,10,1,y
@leahbridges82,0,0.0,1397,2035,1,5,n
@angharad1963,0,0.0,1394,2303,5,8,n
@MmayburyrnMary,2,0.13333333333333333,1384,4404,5,2,y
@bone_sharon,0,0.0,1378,1711,9,0,y
@Yvibrantessence,1,0.0625,1376,72,6,3,n
@TheMamatova,2,0.16666666666666666,1368,3553,15,1,y
@wrinklerecovery,0,0.0,1359,4965,7,2,y
@sherry4201,0,0.0,1355,1510,3,0,y
@_poppunkGF,2,0.18181818181818182,1355,574,0,5,n
@clouim531,0,0.0,1341,4624,10,1,y
@Frostyblonde01_,1,0.0625,1337,952,6,0,y
@Lefty0971,1,0.1,1321,188,7,0,y
@elmejo10,0,0.0,1320,2009,5,7,n
@BluebellBw,2,0.18181818181818182,1318,1301,12,1,y
@The_FFBC,5,0.5555555555555556,1315,206,4,12,n
@nursingdiva2016,0,0.0,1314,1030,3,1,y
@kennygibsonnhs,0,0.0,1313,1165,12,0,y
@njlakic,0,0.0,1312,983,10,0,y
@Rn4momChelle,2,0.15384615384615385,1308,1318,3,4,n
@KenKenhall65,2,0.15384615384615385,1307,1844,11,0,y
@DeannePccn,2,0.18181818181818182,1299,1539,3,0,y
@LVFRN7,5,0.7142857142857143,1299,2122,11,1,y
@aubriana_donato,0,0.0,1298,1762,0,0,n
@Jacarrah__,1,0.09090909090909091,1296,1126,0,1,n
@SchultzTana,2,0.16666666666666666,1293,1730,11,0,y
@indu_neupane,0,0.0,1292,526,1,0,y
@NancieShiroh,2,0.15384615384615385,1285,1851,2,10,n
@eviefisher10,0,0.0,1284,1444,12,3,y
@NurseEdUK,4,0.4,1282,1078,7,7,n
@nancy091013,0,0.0,1282,2122,1,1,y
@The_NP_Show,4,0.3333333333333333,1279,348,3,7,n
@sweetcakes1965,0,0.0,1279,2135,8,2,y
@BravePublic_Hat,3,0.1875,1279,1088,6,0,y
@MarinesCatMom,3,0.21428571428571427,1277,742,1,3,n
@DirtyTeleNurse,3,0.2,1275,1792,6,7,n
@SpecialOps_X,3,0.23076923076923078,1267,1742,1,5,n
@Nurse_Hub,2,0.2,1265,907,0,2,n
@Maryam_B_A_97,3,0.21428571428571427,1265,2075,0,0,n
@jay_kanz,0,0.0,1264,569,11,0,y
@dalie_1998,0,0.0,1257,1947,0,4,n
@nursein_trainin,0,0.0,1257,894,0,5,n
@Goldschlagerkid,1,0.0625,1256,395,13,2,y
@wanderwithwine1,0,0.0,1248,887,9,0,y
@mthembunokuthu1,0,0.0,1244,1827,0,7,n
@besin_lani,0,0.0,1238,1902,7,0,y
@philliponduty,0,0.0,1232,911,1,7,n
@JessicaMPicard,3,0.2,1231,1245,3,9,n
@GirlyChristian7,2,0.125,1230,1203,17,1,y
@Beautifulnoora,1,0.06666666666666667,1228,209,8,0,y
@AshBashNichole,3,0.2,1224,1035,1,4,n
@rk773936,0,0.0,1222,1578,4,2,y
@AstroguyHawaii,2,0.13333333333333333,1222,1362,8,1,y
@Striker0108,1,0.08333333333333333,1221,1227,11,1,y
@sleepingcats215,0,0.0,1219,2266,14,1,y
@EclipseOfiukusu,2,0.125,1206,371,10,1,y
@Emoniee_D,2,0.2,1204,1605,0,1,n
@_ParisNextDoor_,3,0.1875,1202,1190,1,7,n
@janessong319,0,0.0,1195,2204,13,1,y
@skyedolphins,0,0.0,1190,2099,10,1,y
@fhoodstories,0,0.0,1189,253,5,0,y
@shopshi,0,0.0,1185,2026,9,1,y
@NurseCrazyEyez,3,0.2,1183,1904,13,3,y
@gingermshort,0,0.0,1180,1965,11,1,y
@Dirty_Nappy,2,0.16666666666666666,1175,1049,13,0,y
@VivianJo1,2,0.2,1173,1091,11,1,y
@NiddyNidz,2,0.2,1162,1103,6,1,y
@msallaboutus,0,0.0,1158,1265,7,3,y
@FaizaLhabidabs,2,0.13333333333333333,1157,261,5,0,y
@KayMarleyMar,3,0.23076923076923078,1152,1317,0,6,n
@kellymoorebp,0,0.0,1148,1427,10,0,y
@Cybernat61,1,0.09090909090909091,1145,2004,2,0,y
@Chall94509,1,0.09090909090909091,1141,1720,10,2,y
@nurseanita1998,0,0.0,1138,2162,1,0,y
@johairah23,0,0.0,1138,884,8,1,y
@Tj48000Nina,2,0.16666666666666666,1135,1142,10,0,y
@Mbelin1033Mary,2,0.13333333333333333,1132,1987,7,1,y
@nijeah,0,0.0,1131,1841,6,6,n
@eatASIAn_food,4,0.2857142857142857,1130,874,1,5,n
@NCbaby_,2,0.25,1128,1376,2,6,n
@kermei_94,0,0.0,1120,102,0,5,n
@lesleycarter22,0,0.0,1119,1510,6,2,y
@MLPSnowStar,5,0.4166666666666667,1119,1295,11,0,y
@TheTinderGay,3,0.23076923076923078,1117,829,12,2,y
@nawty_nurse,0,0.0,1113,169,0,0,n
@mentalmaven,0,0.0,1113,509,11,1,y
@Mountainultra,1,0.07142857142857142,1112,201,0,8,n
@mc_sherrie,0,0.0,1110,1944,1,1,y
@911getaway,0,0.0,1110,1957,14,1,y
@MichelleMenny,2,0.14285714285714285,1110,3075,6,7,n
@alain77510773,0,0.0,1109,998,8,1,y
@PGibesonRN,4,0.36363636363636365,1108,2245,10,3,y
@Bbiscuit24,1,0.09090909090909091,1107,269,3,10,n
@LoriBrabant,2,0.16666666666666666,1106,2403,2,0,y
@TerrieMcevoy,2,0.15384615384615385,1103,55,10,1,y
@RoxyFoxy222,2,0.16666666666666666,1089,4021,11,0,y
@chocolatekillaa,0,0.0,1088,2212,2,5,n
@I_never_fear,1,0.07692307692307693,1087,385,1,8,n
@thatgaynurse,0,0.0,1086,587,0,0,n
@hold_sugar,0,0.0,1086,778,2,5,n
@snarkyscrubs,0,0.0,1082,566,13,0,y
@DelicsSurprise,2,0.13333333333333333,1081,4961,6,1,y
@MamaCurtiss,2,0.16666666666666666,1073,1678,7,0,y
@NursesRound,2,0.16666666666666666,1068,2006,12,2,y
@OtterInTheStx,4,0.2857142857142857,1063,696,6,0,y
@evelynpm50,0,0.0,1060,2012,10,2,y
@future__nurse,0,0.0,1060,683,3,1,y
@_niyaamonae,0,0.0,1056,875,4,6,n
@LifeInTheICU,6,0.46153846153846156,1053,496,9,1,y
@Mikeys1Mum,2,0.18181818181818182,1052,2461,11,3,y
@sassnpolitics,0,0.0,1050,869,4,3,n
@patsy_glasgow,0,0.0,1048,1700,1,7,n
@sassy_md_sn,0,0.0,1044,703,2,2,n
@fd00ba57417d449,0,0.0,1042,934,9,2,y
@beachnurse269,0,0.0,1041,2993,0,2,n
@LapeNurse,2,0.2,1034,477,6,0,y
@Buffy3349,1,0.1,1031,1191,8,1,y
@Rwmartin72,1,0.09090909090909091,1030,2197,13,2,y
@getitkim,0,0.0,1026,333,11,2,y
@CharmantNiQ,3,0.25,1023,805,0,0,n
@mmistretta691,0,0.0,1022,992,8,5,y
@libertarianchik,0,0.0,1022,1043,7,1,y
@SoutheRNgirl767,3,0.1875,1021,1978,0,0,n
@ScuthernBeauty,2,0.13333333333333333,1021,984,8,0,y
@MixMylicious,2,0.15384615384615385,1019,1004,13,0,y
@fargoscargo1,0,0.0,1012,1291,1,2,n
@steveshaw1979,0,0.0,1008,936,5,5,n
@ManorRdGoods,3,0.23076923076923078,1001,948,10,3,y
@StudentNurse_UK,4,0.25,1001,1016,3,6,n
@keepinupwithni,0,0.0,1000,697,0,5,n
@kiwikiwipee,0,0.0,1000,1029,11,0,y
@_WhiskeyDarlin,2,0.13333333333333333,1000,1200,4,3,n
@SallyJoBradley1,3,0.1875,1000,1997,14,3,y
@Jirianranj,1,0.09090909090909091,991,863,2,0,n
@PoeticGoddness,2,0.13333333333333333,990,421,0,12,n
@aasthatwitting,0,0.0,989,31,0,3,n
@kristenmooody,0,0.0,989,677,0,7,n
@oswin_claire,0,0.0,984,1299,8,0,y
@nursing_dp,0,0.0,983,1917,3,0,y
@Aki__Nijou,2,0.18181818181818182,983,396,9,1,y
@abcdef__jee,0,0.0,982,581,0,1,n
@just_drew_me,0,0.0,977,507,6,0,y
@neil_catherine,0,0.0,969,816,9,0,y
@EZannuti,2,0.2222222222222222,967,2294,8,1,y
@PetRosewood,2,0.16666666666666666,965,0,11,3,y
@ObstetricsRN,3,0.23076923076923078,964,1743,8,0,y
@muchirijoyce1,0,0.0,964,1990,0,0,y
@AbbyHespah,2,0.18181818181818182,962,2011,5,1,y
@ohiamjessica,0,0.0,953,1322,2,3,n
@V_ofPSE,4,0.5,951,1116,12,1,y
@LiveAsQueenAnne,4,0.25,951,1950,9,0,y
@LynnieceMiss,2,0.15384615384615385,951,1886,2,5,n
@RNRecruiting,3,0.23076923076923078,951,35,2,7,n
@PatriciaLindbe3,2,0.125,950,1887,4,0,y
@kbdpgela,0,0.0,949,644,3,3,n
@jaretblidook,0,0.0,940,1986,11,1,y
@nursingstat,0,0.0,939,1654,9,5,y
@4wrapstolive,0,0.0,936,1642,6,1,y
@downtownlesbos,0,0.0,936,796,8,0,y
@WhiteJacketPink,3,0.1875,935,838,8,0,y
@Crashnebula14,1,0.07142857142857142,931,1924,2,8,n
@my_vetnurse,0,0.0,928,1674,4,7,n
@buckiewitmer,0,0.0,928,1047,1,0,y
@staffing_agent,0,0.0,926,1892,6,1,y
@lilklee821,0,0.0,922,2158,11,1,y
@BabsGreenEyes,3,0.21428571428571427,921,1227,7,2,y
@CoriBush4Senate,3,0.1875,914,588,1,0,y
@ElaineMenshouse,2,0.125,908,812,6,2,y
@srickenberg,0,0.0,905,895,12,2,y
@NCariddo,2,0.2222222222222222,904,1972,9,3,y
@nicolewest37,0,0.0,904,784,1,2,n
@savageonsite,0,0.0,904,898,2,6,n
@PBB_TeamJayme,5,0.35714285714285715,903,201,6,0,y
@LipNurse,2,0.2222222222222222,901,1331,3,4,n
@jessica_kimchi,0,0.0,901,113,6,3,y
@JoannaSapida,2,0.15384615384615385,899,2027,4,1,y
@Yourfitnurse,1,0.07692307692307693,898,756,6,2,y
@jobodyrn,0,0.0,893,1934,7,3,y
@LDNNURSE,8,0.8888888888888888,884,1796,4,1,y
@__dejamichelle,0,0.0,883,1731,1,2,n
@JoeKellyMP,4,0.36363636363636365,883,341,6,1,y
@Abette77Amanda,2,0.13333333333333333,883,1882,0,0,n
@SiskaSiskahattu,2,0.125,881,934,6,1,y
@Hunter873J,2,0.18181818181818182,879,869,7,1,y
@bturner72812,0,0.0,879,2063,8,0,y
@nursie6,0,0.0,875,1323,6,1,y
@jarheadrn2gmail,0,0.0,875,1863,2,0,y
@mirandafraun,0,0.0,871,1959,7,0,y
@puravidanaples,0,0.0,871,15,13,1,y
@AlleySara,2,0.2,870,1265,5,3,y
@JenJasmin75,2,0.16666666666666666,870,1000,10,1,y
@JericahMarie_,2,0.14285714285714285,870,638,0,4,n
@StlMagnolia1,2,0.15384615384615385,867,546,9,1,y
@LivinNCin,3,0.3,865,1377,13,1,y
@SkyeBlaak,2,0.2,864,837,2,1,y
@Loritrufit,1,0.09090909090909091,864,1604,3,0,y
@superrmaxine_,0,0.0,863,109,1,1,n
@BadAdviceNurse1,3,0.1875,860,17,9,8,n
@jshelp84,0,0.0,856,948,3,1,y
@nurseauthors2,0,0.0,856,1989,7,7,n
@ArizonaNurse,2,0.15384615384615385,855,304,5,1,y
@AtkinDiana,2,0.18181818181818182,852,1970,8,3,y
@daysharena,0,0.0,852,693,1,2,n
@gotghost5,0,0.0,851,1292,13,4,y
@MissLeahCooke,3,0.21428571428571427,850,501,4,1,y
@LaToyaLemons,3,0.23076923076923078,847,1967,8,2,y
@Nonnie_Linda,2,0.15384615384615385,845,1153,7,0,y
@PriaCelestee,2,0.15384615384615385,843,809,0,3,n
@itsclaremarie,0,0.0,843,931,6,0,y
@AuthorGSarpong,3,0.2,842,1586,8,3,y
@andreawiley_,0,0.0,839,898,2,3,n
@AlexIrvineYork,3,0.2,838,1220,11,2,y
@ThePrayingNurse,3,0.1875,838,2013,9,1,y
@AnonLadyRN,4,0.36363636363636365,836,129,7,2,y
@Scrubsandsquats,1,0.0625,834,310,4,0,y
@BareroRose,2,0.18181818181818182,834,259,0,1,n
@GlamNurse614,2,0.15384615384615385,834,358,4,0,y
@MamaMMcCall,4,0.3333333333333333,831,1083,11,0,y
@Aaryon_Nurse,2,0.15384615384615385,831,1851,0,2,n
@jwhorsley,0,0.0,828,847,5,0,y
@eneaangela,0,0.0,828,692,3,4,n
@miguelkaAllie,1,0.07142857142857142,823,811,6,8,n
@Jada_btw,1,0.1111111111111111,823,657,0,1,n
@Logan_A_Gates,3,0.21428571428571427,823,1587,3,5,n
@lundgrenmall,0,0.0,822,1941,5,0,y
@debilesigger25,0,0.0,821,83,9,0,y
@nanciesuzan,0,0.0,820,1864,6,1,y
@1f466e0965924bb,0,0.0,820,2062,3,4,n
@crystaljordan94,0,0.0,819,617,5,1,y
@CApparitionSE,4,0.2857142857142857,815,362,11,0,y
@LaReinanurse1,2,0.14285714285714285,813,604,13,1,y
@Nurse_Gerard,2,0.15384615384615385,813,780,0,7,n
@angelhart1988,0,0.0,811,2178,3,1,y
@HeeeeyPril,2,0.18181818181818182,809,326,1,0,y
@hevmariee,0,0.0,807,646,1,3,n
@JrtrippjrR,2,0.18181818181818182,806,2032,9,0,y
@camoprep,0,0.0,803,527,3,6,n
@D_Desss,2,0.25,801,953,0,3,n
@PregWorld,2,0.2,801,3111,7,2,y
@teejaaayasf_,0,0.0,799,823,0,5,n
@iam_taraa,0,0.0,797,382,2,2,n
@blairalexisss,0,0.0,797,373,5,4,n
@lory_pixie,0,0.0,796,1007,4,1,y
@auroraskilaki,0,0.0,794,570,2,1,y
@ComedyScript,2,0.15384615384615385,792,1704,10,0,y
@beloved_quashaa,0,0.0,788,470,2,0,y
@SuzySmitty,2,0.18181818181818182,788,2394,6,5,n
@YulandaWhittier,2,0.125,787,1977,2,0,y
@lucyysmartt,0,0.0,782,1109,2,0,y
@SNmidwest,2,0.2,781,188,3,0,y
@Arvien26,1,0.1111111111111111,780,1155,8,5,y
@LaniBesin,2,0.2,775,1888,6,2,y
@JadeHaines1,2,0.16666666666666666,775,1063,9,1,y
@Su_Mitch1121,2,0.15384615384615385,774,1061,6,10,n
@TechInstPart,3,0.23076923076923078,773,1408,4,8,n
@bunnie_bae,0,0.0,772,1129,14,1,y
@bean_______,0,0.0,771,766,3,0,y
@laurakrooney,0,0.0,769,913,12,2,y
@horny_mickie,0,0.0,769,1830,3,3,n
@SaveHealthNurse,3,0.1875,766,947,7,1,y
@Nurse_surfing,1,0.07142857142857142,765,2172,10,0,y
@AdvPracPrep,3,0.25,765,4459,5,0,y
@IcyCosplay,2,0.18181818181818182,764,81,2,1,y
@FeistySnowflake,2,0.125,764,1376,5,10,n
@ginah89121,0,0.0,761,81,8,1,y
@Strax_Sontaran,2,0.13333333333333333,759,1188,15,0,y
@elizabeth27ann,0,0.0,756,683,7,2,y
